,Sales,Discount,year,quarter,month,weekofyear,dayofweek,dayofmonth,is_weekend
Sales,1.0,-0.0197,0.0029,-0.0108,-0.0133,-0.0137,-0.0114,0.0087,-0.0062
Discount,-0.0197,1.0,-0.0078,0.0124,0.0081,0.0107,0.0015,0.0034,-0.0129
year,0.0029,-0.0078,1.0,-0.018,-0.0281,-0.0275,0.0337,-0.0181,0.026
quarter,-0.0108,0.0124,-0.018,1.0,0.9715,0.9572,-0.0347,0.1614,-0.0013
month,-0.0133,0.0081,-0.0281,0.9715,1.0,0.9836,-0.0269,0.17,0.0011
weekofyear,-0.0137,0.0107,-0.0275,0.9572,0.9836,1.0,-0.0422,0.2311,-0.0136
dayofweek,-0.0114,0.0015,0.0337,-0.0347,-0.0269,-0.0422,1.0,-0.0952,0.7586
dayofmonth,0.0087,0.0034,-0.0181,0.1614,0.17,0.2311,-0.0952,1.0,-0.0717
is_weekend,-0.0062,-0.0129,0.026,-0.0013,0.0011,-0.0136,0.7586,-0.0717,1.0
