modellnavn,modellrolle,modellfil,modellfil_funnet_lokalt,autogenerert_i_5_1,prediksjonskolonne
LinearRegression,benchmark lineær,08_lineaer_regresjon/model_lineaer_regresjon.joblib,True,False,prognose_lineaer_regresjon
RandomForestRegressor,baseline RF,09_random_forest_regressor/model_random_forest_regressor.joblib,True,False,prognose_random_forest_baseline
RandomForestRegressor,tuned RF,11_parameterjustering_random_forest/model_random_forest_tuned.joblib,True,False,prognose_random_forest_tuned
